Count,Date,GPU Clock [MHz],Memory Clock [MHz],GPU Temperature [C],GPU Load [%],GPU Power [W]
0,2024-04-11 14:43:16,99.8,2593.7,47.0,1.0,0.0
1,2024-04-11 14:43:17,99.8,2593.7,46.0,0.0,0.0
2,2024-04-11 14:43:18,99.8,2593.7,46.0,1.0,0.0
3,2024-04-11 14:43:19,99.8,2593.7,46.0,0.0,0.0
4,2024-04-11 14:43:20,99.8,2593.7,47.0,1.0,0.0
5,2024-04-11 14:43:21,99.8,2593.7,47.0,1.0,0.0
6,2024-04-11 14:43:22,99.8,2593.7,49.0,0.0,0.0
7,2024-04-11 14:43:23,99.8,2593.7,47.0,5.0,0.0
8,2024-04-11 14:43:24,99.8,2593.7,49.0,7.0,0.1
9,2024-04-11 14:43:25,99.8,2593.7,47.0,3.0,0.0
10,2024-04-11 14:43:26,99.8,2593.7,47.0,4.0,0.0
11,2024-04-11 14:43:27,99.8,2593.7,47.0,3.0,0.0
12,2024-04-11 14:43:28,99.8,2593.7,47.0,6.0,0.1
13,2024-04-11 14:43:29,99.8,2593.7,47.0,7.0,0.1
14,2024-04-11 14:43:30,99.8,2593.7,47.0,7.0,0.1
15,2024-04-11 14:43:31,99.8,2593.7,47.0,7.0,0.1
16,2024-04-11 14:43:32,99.8,2593.7,47.0,8.0,0.1
17,2024-04-11 14:43:33,99.8,2593.7,49.0,8.0,0.1
18,2024-04-11 14:43:34,99.8,2593.7,49.0,6.0,0.1
19,2024-04-11 14:43:35,99.8,2593.7,49.0,2.0,0.0
20,2024-04-11 14:43:36,99.8,2593.7,49.0,7.0,0.1
21,2024-04-11 14:43:37,99.8,2593.7,47.0,5.0,0.1
22,2024-04-11 14:43:38,99.8,2593.7,49.0,3.0,0.0
23,2024-04-11 14:43:39,99.8,2593.7,47.0,6.0,0.1
24,2024-04-11 14:43:40,99.8,2593.7,49.0,8.0,0.1
25,2024-04-11 14:43:41,99.8,2593.7,49.0,1.0,0.0
26,2024-04-11 14:43:42,99.8,2593.7,49.0,0.0,0.0
27,2024-04-11 14:43:43,99.8,2593.7,49.0,0.0,0.0
28,2024-04-11 14:43:44,99.8,2593.7,49.0,0.0,0.0
29,2024-04-11 14:43:45,99.8,2593.7,47.0,0.0,0.0
30,2024-04-11 14:43:47,99.8,2593.7,49.0,0.0,0.0
31,2024-04-11 14:43:48,99.8,2593.7,47.0,0.0,0.0
32,2024-04-11 14:43:49,99.8,2593.7,49.0,0.0,0.0
33,2024-04-11 14:43:50,99.8,2593.7,49.0,0.0,0.0
34,2024-04-11 14:43:51,99.8,2593.7,49.0,0.0,0.0
35,2024-04-11 14:43:52,99.8,2593.7,47.0,1.0,0.0
36,2024-04-11 14:43:53,99.8,2593.7,49.0,8.0,0.1
37,2024-04-11 14:43:54,99.8,2593.7,49.0,6.0,0.1
38,2024-04-11 14:43:55,99.8,2593.7,47.0,7.0,0.1
39,2024-04-11 14:43:56,99.8,2593.7,47.0,5.0,0.0
40,2024-04-11 14:43:57,99.8,2593.7,47.0,4.0,0.0
41,2024-04-11 14:43:58,99.8,2593.7,49.0,1.0,0.0
42,2024-04-11 14:43:59,99.8,2593.7,47.0,0.0,0.0
43,2024-04-11 14:44:00,99.8,2593.7,48.0,4.0,0.0
44,2024-04-11 14:44:01,99.8,2593.7,47.0,5.0,0.1
45,2024-04-11 14:42:59,99.8,2593.7,47.0,1.0,0.0
46,2024-04-11 14:43:00,99.8,2593.7,47.0,1.0,0.0
47,2024-04-11 14:43:01,99.8,2593.7,47.0,0.0,0.0
48,2024-04-11 14:43:02,99.8,2593.7,47.0,1.0,0.0
49,2024-04-11 14:43:03,99.8,2593.7,47.0,1.0,0.0
50,2024-04-11 14:43:04,99.8,2593.7,46.0,1.0,0.0
51,2024-04-11 14:43:05,99.8,2593.7,49.0,1.0,0.0
52,2024-04-11 14:43:06,99.8,2593.7,47.0,1.0,0.0
53,2024-04-11 14:43:07,99.8,2593.7,47.0,0.0,0.0
54,2024-04-11 14:43:08,99.8,2593.7,47.0,0.0,0.0
55,2024-04-11 14:43:10,99.8,2593.7,47.0,0.0,0.0
56,2024-04-11 14:43:11,99.8,2593.7,47.0,0.0,0.0
57,2024-04-11 14:43:12,99.8,2593.7,46.0,0.0,0.0
58,2024-04-11 14:43:13,99.8,2593.7,47.0,0.0,0.0
59,2024-04-11 14:43:14,99.8,2593.7,47.0,0.0,0.0
