GPU Clock [MHz],GPU Power [W],Memory Clock [MHz],GPU Temperature [C],Date,GPU Load [%],Count
99.8,0.0,2593.7,47.0,2024-04-11 14:42:20,0.0,7
99.8,0.0,2593.7,49.0,2024-04-11 14:42:21,0.0,8
99.8,0.0,2593.7,47.0,2024-04-11 14:42:22,1.0,9
99.8,0.0,2593.7,47.0,2024-04-11 14:42:23,0.0,10
99.8,0.0,2593.7,47.0,2024-04-11 14:42:24,0.0,11
99.8,0.0,2593.7,47.0,2024-04-11 14:42:25,1.0,12
99.8,0.1,2593.7,47.0,2024-04-11 14:42:26,12.0,13
99.8,0.1,2593.7,47.0,2024-04-11 14:42:27,9.0,14
99.8,0.0,2593.7,47.0,2024-04-11 14:42:28,4.0,15
99.8,0.0,2593.7,49.0,2024-04-11 14:42:29,4.0,16
99.8,0.1,2593.7,49.0,2024-04-11 14:42:30,9.0,17
99.8,0.1,2593.7,49.0,2024-04-11 14:42:31,8.0,18
99.8,0.0,2593.7,47.0,2024-04-11 14:42:32,0.0,19
99.8,0.1,2593.7,47.0,2024-04-11 14:42:33,5.0,20
99.8,0.2,2593.7,49.0,2024-04-11 14:42:35,8.0,21
99.8,0.1,2593.7,47.0,2024-04-11 14:42:36,5.0,22
99.8,0.0,2593.7,47.0,2024-04-11 14:42:37,0.0,23
99.8,0.0,2593.7,49.0,2024-04-11 14:42:38,6.0,24
99.8,0.1,2593.7,47.0,2024-04-11 14:42:39,10.0,25
99.8,0.1,2593.7,47.0,2024-04-11 14:42:40,5.0,26
99.8,0.1,2593.7,47.0,2024-04-11 14:42:41,6.0,27
99.8,0.1,2593.7,49.0,2024-04-11 14:42:42,5.0,28
99.8,0.2,2593.7,49.0,2024-04-11 14:42:43,12.0,29
99.8,0.0,2593.7,49.0,2024-04-11 14:42:44,5.0,30
99.8,0.0,2593.7,49.0,2024-04-11 14:42:45,3.0,31
99.8,0.1,2593.7,47.0,2024-04-11 14:42:46,7.0,32
99.8,0.0,2593.7,47.0,2024-04-11 14:42:47,3.0,33
99.8,0.0,2593.7,47.0,2024-04-11 14:42:48,3.0,34
99.8,0.0,2593.7,46.0,2024-04-11 14:42:49,1.0,35
99.8,0.0,2593.7,47.0,2024-04-11 14:42:50,0.0,36
99.8,0.0,2593.7,47.0,2024-04-11 14:42:51,0.0,37
99.8,0.0,2593.7,47.0,2024-04-11 14:42:52,0.0,38
99.8,0.0,2593.7,46.0,2024-04-11 14:42:53,1.0,39
99.8,0.0,2593.7,47.0,2024-04-11 14:42:54,1.0,40
99.8,0.0,2593.7,47.0,2024-04-11 14:42:55,1.0,41
99.8,0.0,2593.7,47.0,2024-04-11 14:42:56,1.0,42
99.8,0.0,2593.7,47.0,2024-04-11 14:42:57,1.0,43
598.5,0.0,2593.7,47.0,2024-04-11 14:42:58,1.0,44
99.8,0.0,2593.7,47.0,2024-04-11 14:42:59,1.0,45
99.8,0.0,2593.7,47.0,2024-04-11 14:43:00,1.0,46
99.8,0.0,2593.7,47.0,2024-04-11 14:43:01,0.0,47
99.8,0.0,2593.7,47.0,2024-04-11 14:43:02,1.0,48
99.8,0.0,2593.7,47.0,2024-04-11 14:43:03,1.0,49
99.8,0.0,2593.7,46.0,2024-04-11 14:43:04,1.0,50
99.8,0.0,2593.7,49.0,2024-04-11 14:43:05,1.0,51
99.8,0.0,2593.7,47.0,2024-04-11 14:43:06,1.0,52
99.8,0.0,2593.7,47.0,2024-04-11 14:43:07,0.0,53
99.8,0.0,2593.7,47.0,2024-04-11 14:43:08,0.0,54
99.8,0.0,2593.7,47.0,2024-04-11 14:43:10,0.0,55
99.8,0.0,2593.7,47.0,2024-04-11 14:43:11,0.0,56
99.8,0.0,2593.7,46.0,2024-04-11 14:43:12,0.0,57
99.8,0.0,2593.7,47.0,2024-04-11 14:43:13,0.0,58
99.8,0.0,2593.7,47.0,2024-04-11 14:43:14,0.0,59
99.8,0.0,2593.7,47.0,2024-04-11 14:43:16,1.0,0
99.8,0.0,2593.7,46.0,2024-04-11 14:43:17,0.0,1
99.8,0.0,2593.7,46.0,2024-04-11 14:43:18,1.0,2
99.8,0.0,2593.7,46.0,2024-04-11 14:43:19,0.0,3
99.8,0.0,2593.7,47.0,2024-04-11 14:43:20,1.0,4
99.8,0.0,2593.7,47.0,2024-04-11 14:43:21,1.0,5
99.8,0.0,2593.7,49.0,2024-04-11 14:43:22,0.0,6
